,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
99,3.4582,3.5091,3.5249,3.4756,3.4623,3.4099,3.39,3.4446,3.4582,3.5168,3.5354,3.4781,3.4629,3.3993,3.3792,3.4418,3.4579
100,3.4585,3.5094,3.5246,3.4743,3.4604,3.4086,3.39,3.4424,3.4564,3.5184,3.5354,3.4753,3.4626,3.4021,3.3782,3.4399,3.4573
101,3.4582,3.5091,3.5236,3.475,3.4623,3.408,3.3934,3.444,3.4592,3.5181,3.5342,3.4774,3.461,3.4015,3.3816,3.4406,3.4585
102,3.4601,3.5109,3.5289,3.4778,3.4638,3.4105,3.3916,3.443,3.4601,3.5205,3.5401,3.4787,3.4644,3.4021,3.3792,3.4421,3.4604
103,3.4619,3.5153,3.5329,3.479,3.4669,3.4105,3.3913,3.444,3.461,3.523,3.5438,3.4818,3.4675,3.4021,3.3782,3.4384,3.4613
104,3.4623,3.5162,3.5308,3.4784,3.4666,3.4139,3.3913,3.4461,3.4616,3.5218,3.5432,3.4799,3.4663,3.4046,3.3804,3.444,3.4613
105,3.4619,3.5097,3.5305,3.4781,3.4644,3.413,3.3916,3.444,3.4613,3.5174,3.5429,3.4793,3.4669,3.403,3.3776,3.4396,3.4613
106,3.4616,3.5109,3.5298,3.4787,3.4663,3.4123,3.3928,3.4455,3.4619,3.5199,3.5413,3.4809,3.4663,3.4021,3.3804,3.4437,3.461
107,3.4619,3.5143,3.5305,3.4787,3.4669,3.4123,3.394,3.4458,3.4616,3.5205,3.5401,3.4809,3.4669,3.4049,3.3835,3.444,3.4613
108,3.4629,3.5106,3.532,3.4787,3.4666,3.4114,3.3913,3.4449,3.4623,3.5224,3.5432,3.479,3.4666,3.4015,3.3801,3.4437,3.4613
109,3.4638,3.5134,3.5332,3.4809,3.4669,3.4142,3.394,3.4492,3.4638,3.5243,3.5444,3.4821,3.4681,3.4071,3.382,3.4418,3.4626
110,3.465,3.5171,3.5363,3.4799,3.4691,3.4136,3.3909,3.4477,3.465,3.5274,3.5484,3.4836,3.4685,3.4068,3.3795,3.4443,3.4635
111,3.4641,3.5153,3.5323,3.4812,3.4666,3.413,3.394,3.4492,3.4632,3.5246,3.5438,3.4815,3.4691,3.4058,3.382,3.4433,3.4638
112,3.4669,3.5196,3.5388,3.483,3.4706,3.4161,3.3922,3.4443,3.4641,3.5264,3.5497,3.484,3.4709,3.4049,3.3801,3.4455,3.4657
113,3.4675,3.5205,3.5407,3.4855,3.4709,3.4157,3.3922,3.4477,3.4657,3.5295,3.5525,3.4889,3.4719,3.4046,3.3785,3.444,3.466
114,3.4654,3.5174,3.5348,3.4858,3.4694,3.417,3.3937,3.4495,3.466,3.5274,3.5463,3.484,3.4691,3.408,3.3835,3.4468,3.4638
115,3.4663,3.5146,3.5373,3.4824,3.4691,3.4145,3.395,3.4502,3.4654,3.5286,3.5463,3.4843,3.4712,3.4058,3.3829,3.4455,3.4657
116,3.4663,3.5177,3.537,3.483,3.4703,3.4145,3.395,3.4477,3.4657,3.5292,3.5487,3.4843,3.4697,3.4077,3.3816,3.4461,3.465
117,3.4663,3.5171,3.5329,3.4771,3.4691,3.4182,3.3965,3.4495,3.4654,3.5233,3.5413,3.4815,3.4706,3.4055,3.3851,3.4461,3.465
118,3.4654,3.5165,3.5339,3.4821,3.4694,3.4148,3.3965,3.4514,3.4647,3.5255,3.546,3.4846,3.4694,3.4074,3.3823,3.4477,3.4647
119,3.465,3.5171,3.5376,3.4833,3.4706,3.4157,3.3962,3.4511,3.4663,3.5233,3.5481,3.4861,3.4703,3.4064,3.382,3.4449,3.4657
